"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 14 18:41:07 GMT 2025","Mon Jul 14 18:41:13 GMT 2025","5942","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","invalidEmailSignInPageTest","Check for invalid email input 'Sign In' account",""
"passed","Mon Jul 14 18:42:49 GMT 2025","Mon Jul 14 18:42:53 GMT 2025","3678","","tests.ui.HomePageTests","","tests.ui.HomePageTests","getHomePageUrlTest","Check HomePage url",""
"passed","Mon Jul 14 18:41:26 GMT 2025","Mon Jul 14 18:41:33 GMT 2025","7012","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyPasswordTest","Check account creation with empty password",""
"failed","Mon Jul 14 18:41:33 GMT 2025","Mon Jul 14 18:41:41 GMT 2025","7972","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageTest","Check successful create account",""
"broken","Mon Jul 14 18:43:53 GMT 2025","Mon Jul 14 18:44:07 GMT 2025","14212","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkFooterImgTest","Check footer img is displayed",""
"passed","Mon Jul 14 18:40:47 GMT 2025","Mon Jul 14 18:40:55 GMT 2025","7911","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithInvalidEmailTest","Check account creation with invalid email",""
"failed","Mon Jul 14 18:41:00 GMT 2025","Mon Jul 14 18:41:07 GMT 2025","6798","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","signInPageTest","Check successful 'Sign In' account",""
"passed","Mon Jul 14 18:41:55 GMT 2025","Mon Jul 14 18:42:11 GMT 2025","15417","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyZipCodeTest","Check account creation with empty 'Zip Code'",""
"passed","Mon Jul 14 18:40:42 GMT 2025","Mon Jul 14 18:40:47 GMT 2025","5786","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","emptyEmailAndEmptyPasswordSignInPageTest","Check for empty email and empty password input 'Sign In' account",""
"failed","Mon Jul 14 18:41:41 GMT 2025","Mon Jul 14 18:41:46 GMT 2025","5363","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","emptyPasswordSignInPageTest","Check for empty password input 'Sign In' account",""
"passed","Mon Jul 14 18:40:55 GMT 2025","Mon Jul 14 18:41:00 GMT 2025","5173","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","emptyEmailSignInPageTest","Check for empty email input 'Sign In' account",""
"failed","Mon Jul 14 18:41:13 GMT 2025","Mon Jul 14 18:41:19 GMT 2025","5638","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","longPasswordSignInPageTest","Check for password with more than 25 characters input 'Sign In' account",""
"broken","Mon Jul 14 18:44:16 GMT 2025","Mon Jul 14 18:44:21 GMT 2025","4685","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","removeItemFromCartUnauthorizedUserTest","Remove item from cart as unauthorized user",""
"passed","Mon Jul 14 18:42:57 GMT 2025","Mon Jul 14 18:43:01 GMT 2025","4570","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkFavoritesButtonClickTest","Click on favorites button and check 'Favorites' text",""
"passed","Mon Jul 14 18:40:25 GMT 2025","Mon Jul 14 18:40:27 GMT 2025","2085","","tests.api.BagApiTests","","tests.api.BagApiTests","addAndGetItemsTest","Checking getting different products in bag",""
"failed","Mon Jul 14 18:40:27 GMT 2025","Mon Jul 14 18:40:28 GMT 2025","222","","tests.api.BagApiTests","","tests.api.BagApiTests","getItemTest","Checking getting product in bag",""
"failed","Mon Jul 14 18:40:36 GMT 2025","Mon Jul 14 18:40:41 GMT 2025","5808","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","shortPasswordSignInPageTest","Check for password with less than 8 characters input 'Sign In' account",""
"passed","Mon Jul 14 18:42:33 GMT 2025","Mon Jul 14 18:42:37 GMT 2025","4163","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkCopyrightTextTest","Check the page's copyright",""
"passed","Mon Jul 14 18:42:37 GMT 2025","Mon Jul 14 18:42:42 GMT 2025","4619","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkBasketButtonClickTest","Click on basket button and check 'Shopping Bag' text",""
"failed","Mon Jul 14 18:40:29 GMT 2025","Mon Jul 14 18:40:36 GMT 2025","6427","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","invalidPasswordSignInPageTest","Check for invalid password input 'Sign In' account",""
"passed","Mon Jul 14 18:43:49 GMT 2025","Mon Jul 14 18:43:53 GMT 2025","4494","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkFavoritesButtonTest","Check favorites button on homepage",""
"broken","Mon Jul 14 18:44:25 GMT 2025","Mon Jul 14 18:44:29 GMT 2025","4081","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","addMaximumQuantityToCartUnauthorizedUserTest","Verify maximum quantity of items added to cart for unauthorized user",""
"passed","Mon Jul 14 18:43:44 GMT 2025","Mon Jul 14 18:43:49 GMT 2025","4523","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkBasketButtonTest","Check basket button on homepage",""
"broken","Mon Jul 14 18:42:18 GMT 2025","Mon Jul 14 18:42:33 GMT 2025","14718","","tests.ui.HomePageTests","","tests.ui.HomePageTests","homePageTitleTest","Check HomePage web title",""
"passed","Mon Jul 14 18:41:19 GMT 2025","Mon Jul 14 18:41:26 GMT 2025","7320","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyEmailTest","Check account creation with empty email",""
"failed","Mon Jul 14 18:40:29 GMT 2025","Mon Jul 14 18:40:29 GMT 2025","653","","tests.api.BagApiTests","","tests.api.BagApiTests","updateItemTest","Checking updating product in bag",""
"failed","Mon Jul 14 18:40:28 GMT 2025","Mon Jul 14 18:40:29 GMT 2025","189","","tests.api.BagApiTests","","tests.api.BagApiTests","addItemTest","Checking adding product in bag",""
"failed","Mon Jul 14 18:43:06 GMT 2025","Mon Jul 14 18:43:40 GMT 2025","34466","","tests.ui.HomePageTests","","tests.ui.HomePageTests","openHomePageTest","Open homepage and check header and main menu titles",""
"failed","Mon Jul 14 18:43:01 GMT 2025","Mon Jul 14 18:43:06 GMT 2025","4181","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkCreateAccountButtonTest","Click on account button and check 'Create Account'",""
"passed","Mon Jul 14 18:43:40 GMT 2025","Mon Jul 14 18:43:44 GMT 2025","4064","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkSearchButtonTest","Check search button on homepage",""
"broken","Mon Jul 14 18:44:07 GMT 2025","Mon Jul 14 18:44:11 GMT 2025","4048","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","addItemToBagUnauthorizedUserTest","Check if an unauthorized user can add an item to the cart",""
"passed","Mon Jul 14 18:42:53 GMT 2025","Mon Jul 14 18:42:57 GMT 2025","4099","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkSearchButtonClickTest","Click on search button and check search input field is displayed on homepage",""
"broken","Mon Jul 14 18:44:21 GMT 2025","Mon Jul 14 18:44:25 GMT 2025","3980","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","checkAuthorizedAddItemToCartTest","Authorized user adds a product to the cart",""
"passed","Mon Jul 14 18:42:42 GMT 2025","Mon Jul 14 18:42:45 GMT 2025","3942","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkSignInButtonTest","Click on account button and check 'Sign in'",""
"passed","Mon Jul 14 18:42:45 GMT 2025","Mon Jul 14 18:42:49 GMT 2025","3562","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkAccountButtonTest","Check account button on homepage",""
"failed","Mon Jul 14 18:40:28 GMT 2025","Mon Jul 14 18:40:28 GMT 2025","706","","tests.api.BagApiTests","","tests.api.BagApiTests","deleteItemTest","Checking deleting product in bag",""
"broken","Mon Jul 14 18:44:33 GMT 2025","Mon Jul 14 18:44:37 GMT 2025","4006","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","addItemFromCatalogToCartTest","Add item from catalog to cart and verify success message",""
"passed","Mon Jul 14 18:42:11 GMT 2025","Mon Jul 14 18:42:18 GMT 2025","7339","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyBirthDateTest","Check account creation with empty 'Birthday' field and the checkbox 'I accept' unchecked",""
"broken","Mon Jul 14 18:44:11 GMT 2025","Mon Jul 14 18:44:16 GMT 2025","4727","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","checkMensFormPageTest","Verify Men's Clothes page is opened correctly",""
"broken","Mon Jul 14 18:44:29 GMT 2025","Mon Jul 14 18:44:33 GMT 2025","3805","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","addItemAndChangeQuantityToBagUnauthorizedUserTest","Add item to bag and change quantity for unauthorized user",""
"passed","Mon Jul 14 18:41:46 GMT 2025","Mon Jul 14 18:41:55 GMT 2025","8800","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyNamesFieldsTest","Check account creation with empty 'First Name' and empty 'Last Name'",""
