"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 14 17:44:31 GMT 2025","Mon Jul 14 17:44:35 GMT 2025","3645","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","removeItemFromCartUnauthorizedUserTest","Remove item from cart as unauthorized user",""
"failed","Mon Jul 14 17:41:04 GMT 2025","Mon Jul 14 17:41:09 GMT 2025","5152","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","shortPasswordSignInPageTest","Check for password with less than 8 characters input 'Sign In' account",""
"broken","Mon Jul 14 17:44:45 GMT 2025","Mon Jul 14 17:44:49 GMT 2025","3791","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","addItemFromCatalogToCartTest","Add item from catalog to cart and verify success message",""
"broken","Mon Jul 14 17:44:27 GMT 2025","Mon Jul 14 17:44:31 GMT 2025","3834","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","checkMensFormPageTest","Verify Men's Clothes page is opened correctly",""
"failed","Mon Jul 14 17:43:19 GMT 2025","Mon Jul 14 17:43:23 GMT 2025","4172","","tests.ui.HomePageTests","","tests.ui.HomePageTests","checkCreateAccountButtonTest","Click on account button and check 'Create Account'",""
"broken","Mon Jul 14 17:44:41 GMT 2025","Mon Jul 14 17:44:45 GMT 2025","3767","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","addItemAndChangeQuantityToBagUnauthorizedUserTest","Add item to bag and change quantity for unauthorized user",""
"passed","Mon Jul 14 17:42:24 GMT 2025","Mon Jul 14 17:42:31 GMT 2025","6581","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyZipCodeTest","Check account creation with empty 'Zip Code'",""
"failed","Mon Jul 14 17:41:26 GMT 2025","Mon Jul 14 17:41:31 GMT 2025","5290","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","signInPageTest","Check successful 'Sign In' account",""
"failed","Mon Jul 14 17:42:13 GMT 2025","Mon Jul 14 17:42:18 GMT 2025","4965","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","emptyPasswordSignInPageTest","Check for empty password input 'Sign In' account",""
"failed","Mon Jul 14 17:43:23 GMT 2025","Mon Jul 14 17:43:57 GMT 2025","34056","","tests.ui.HomePageTests","","tests.ui.HomePageTests","openHomePageTest","Open homepage and check header and main menu titles",""
