"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 20 16:17:36 GMT 2025","Sun Jul 20 16:17:44 GMT 2025","7631","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","invalidPasswordSignInPageTest","Check 'Sign In' with invalid password",""
"passed","Sun Jul 20 16:20:08 GMT 2025","Sun Jul 20 16:20:13 GMT 2025","5095","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayShoppingBagTitleAfterClickingBasketButtonTest","Verify clicking the basket button displays the 'Shopping Bag' title",""
"passed","Sun Jul 20 16:19:10 GMT 2025","Sun Jul 20 16:19:13 GMT 2025","3924","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayAccountButtonOnHomePageTest","Verify account button is visible on the homepage header",""
"failed","Sun Jul 20 16:17:33 GMT 2025","Sun Jul 20 16:17:34 GMT 2025","1405","","tests.api.BagApiTests","","tests.api.BagApiTests","addAndGetItemsTest","Checking getting different products in bag",""
"passed","Sun Jul 20 16:18:52 GMT 2025","Sun Jul 20 16:19:01 GMT 2025","8942","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyZipCodeTest","Check account creation with empty 'Zip Code'",""
"broken","Sun Jul 20 16:22:22 GMT 2025","Sun Jul 20 16:23:21 GMT 2025","59583","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","removeItemFromCartTest","Remove item from cart and verify it's empty",""
"passed","Sun Jul 20 16:19:26 GMT 2025","Sun Jul 20 16:19:30 GMT 2025","4352","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplaySearchInputAfterClickingSearchButtonTest","Click on search button and check search input field is displayed on homepage",""
"passed","Sun Jul 20 16:19:22 GMT 2025","Sun Jul 20 16:19:26 GMT 2025","3936","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayFavoritesButtonOnHomePageTest","Verify 'Favorites' button is visible on the homepage",""
"passed","Sun Jul 20 16:18:10 GMT 2025","Sun Jul 20 16:18:15 GMT 2025","5527","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","invalidEmailSignInPageTest","Check 'Sign In' with invalid email input",""
"passed","Sun Jul 20 16:24:21 GMT 2025","Sun Jul 20 16:25:10 GMT 2025","49158","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","priceMatchesBetweenCatalogAndCartTest","Check that product price in catalog matches the price in cart",""
