"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 18 21:19:14 GMT 2025","Fri Jul 18 21:19:16 GMT 2025","1734","","tests.api.BagApiTests","","tests.api.BagApiTests","addAndGetItemsTest","Checking getting different products in bag",""
"passed","Fri Jul 18 21:22:11 GMT 2025","Fri Jul 18 21:22:15 GMT 2025","3823","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayBasketButtonOnHomePageTest","Verify that the basket (cart) button is visible on the homepage",""
"passed","Fri Jul 18 21:22:03 GMT 2025","Fri Jul 18 21:22:07 GMT 2025","3932","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplaySearchButtonOnHomePageTest","Verify that search button is visible on the homepage header",""
"passed","Fri Jul 18 21:21:19 GMT 2025","Fri Jul 18 21:21:23 GMT 2025","4186","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayFavoritesButtonOnHomePageTest","Verify 'Favorites' button is visible on the homepage",""
"broken","Fri Jul 18 21:24:12 GMT 2025","Fri Jul 18 21:24:37 GMT 2025","24644","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","priceMatchesBetweenCatalogAndCartTest","Check that product price in catalog matches the price in cart",""
"failed","Fri Jul 18 21:19:17 GMT 2025","Fri Jul 18 21:19:18 GMT 2025","522","","tests.api.BagApiTests","","tests.api.BagApiTests","updateItemTest","Checking updating product in bag",""
"passed","Fri Jul 18 21:22:15 GMT 2025","Fri Jul 18 21:22:20 GMT 2025","5460","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayShoppingBagTitleAfterClickingBasketButtonTest","Verify clicking the basket button displays the 'Shopping Bag' title",""
"passed","Fri Jul 18 21:19:18 GMT 2025","Fri Jul 18 21:19:25 GMT 2025","7457","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","invalidPasswordSignInPageTest","Check 'Sign In' with invalid password",""
"failed","Fri Jul 18 21:19:17 GMT 2025","Fri Jul 18 21:19:17 GMT 2025","273","","tests.api.BagApiTests","","tests.api.BagApiTests","addItemTest","Checking adding product in bag",""
"passed","Fri Jul 18 21:20:38 GMT 2025","Fri Jul 18 21:20:48 GMT 2025","9804","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyZipCodeTest","Check account creation with empty 'Zip Code'",""
"passed","Fri Jul 18 21:22:07 GMT 2025","Fri Jul 18 21:22:11 GMT 2025","3822","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldLoadCorrectHomePageUrlTest","Verify that the Home Page URL is correct after page load",""
"failed","Fri Jul 18 21:19:16 GMT 2025","Fri Jul 18 21:19:17 GMT 2025","347","","tests.api.BagApiTests","","tests.api.BagApiTests","getItemTest","Checking getting product in bag",""
"passed","Fri Jul 18 21:21:29 GMT 2025","Fri Jul 18 21:21:33 GMT 2025","4184","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplaySignInButtonWhenAccountButtonClickedTest","Click on account button and verify 'Sign In' is visible",""
"passed","Fri Jul 18 21:20:13 GMT 2025","Fri Jul 18 21:20:23 GMT 2025","9187","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyPasswordTest","Check account creation with empty password",""
"broken","Fri Jul 18 21:22:20 GMT 2025","Fri Jul 18 21:22:45 GMT 2025","24605","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","addItemAndChangeQuantityInBagTest","Add item to bag and change quantity",""
"broken","Fri Jul 18 21:22:45 GMT 2025","Fri Jul 18 21:23:09 GMT 2025","24289","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","addMaximumQuantityToCartTest","Verify maximum quantity of items allowed in cart",""
"failed","Fri Jul 18 21:19:17 GMT 2025","Fri Jul 18 21:19:17 GMT 2025","620","","tests.api.BagApiTests","","tests.api.BagApiTests","deleteItemTest","Checking deleting product in bag",""
"broken","Fri Jul 18 21:23:47 GMT 2025","Fri Jul 18 21:24:12 GMT 2025","24545","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","addItemsUntilFreeShippingTest","Unlock 'Free Shipping' when total exceeds threshold",""
"passed","Fri Jul 18 21:21:23 GMT 2025","Fri Jul 18 21:21:29 GMT 2025","5281","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplaySearchInputAfterClickingSearchButtonTest","Click on search button and check search input field is displayed on homepage",""
"passed","Fri Jul 18 21:20:04 GMT 2025","Fri Jul 18 21:20:13 GMT 2025","9301","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyEmailTest","Check account creation with empty email",""
"passed","Fri Jul 18 21:19:31 GMT 2025","Fri Jul 18 21:19:37 GMT 2025","5458","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","emptyEmailAndEmptyPasswordSignInPageTest","Check 'Sign In' with empty email and empty password input",""
"passed","Fri Jul 18 21:21:42 GMT 2025","Fri Jul 18 21:21:49 GMT 2025","6214","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayCorrectCopyrightTextTest","Verify the footer displays the correct copyright text",""
"failed","Fri Jul 18 21:21:01 GMT 2025","Fri Jul 18 21:21:16 GMT 2025","14183","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayCorrectHeaderTabTextsTest","Verify that all header tab texts are displayed correctly",""
"broken","Fri Jul 18 21:23:09 GMT 2025","Fri Jul 18 21:23:23 GMT 2025","14310","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","checkMensFormPageTest","Verify Men's Clothes page is opened correctly",""
"passed","Fri Jul 18 21:19:25 GMT 2025","Fri Jul 18 21:19:31 GMT 2025","5933","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","shortPasswordSignInPageTest","Check 'Sign In' with password shorter than 8 characters",""
"passed","Fri Jul 18 21:19:37 GMT 2025","Fri Jul 18 21:19:48 GMT 2025","10814","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithInvalidEmailTest","Check account creation with invalid email",""
"passed","Fri Jul 18 21:21:38 GMT 2025","Fri Jul 18 21:21:42 GMT 2025","4809","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayCreateAccountButtonAfterClickingAccountTest","Click on account button and verify 'Create Account' button is visible",""
"passed","Fri Jul 18 21:20:48 GMT 2025","Fri Jul 18 21:20:57 GMT 2025","9471","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyBirthDateTest","Check account creation with empty 'Birthday' field and the checkbox 'I accept' unchecked",""
"passed","Fri Jul 18 21:19:59 GMT 2025","Fri Jul 18 21:20:04 GMT 2025","5523","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","longPasswordSignInPageTest","Check 'Sign In' with password longer than 25 characters",""
"broken","Fri Jul 18 21:24:37 GMT 2025","Fri Jul 18 21:25:01 GMT 2025","24576","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","addItemFromCatalogToCartTest","Add item from catalog to cart and verify success message is shown",""
"passed","Fri Jul 18 21:19:53 GMT 2025","Fri Jul 18 21:19:59 GMT 2025","5477","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","invalidEmailSignInPageTest","Check 'Sign In' with invalid email input",""
"broken","Fri Jul 18 21:21:49 GMT 2025","Fri Jul 18 21:22:03 GMT 2025","14354","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayFooterImageTest","Verify that the footer image is displayed",""
"passed","Fri Jul 18 21:20:23 GMT 2025","Fri Jul 18 21:20:28 GMT 2025","5408","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","emptyPasswordSignInPageTest","Check 'Sign In' with empty password input",""
"passed","Fri Jul 18 21:20:57 GMT 2025","Fri Jul 18 21:21:01 GMT 2025","3952","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayAccountButtonOnHomePageTest","Verify account button is visible on the homepage header",""
"passed","Fri Jul 18 21:19:48 GMT 2025","Fri Jul 18 21:19:53 GMT 2025","5428","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","emptyEmailSignInPageTest","Check 'Sign In' with empty email input",""
"passed","Fri Jul 18 21:21:16 GMT 2025","Fri Jul 18 21:21:19 GMT 2025","3628","","tests.ui.HomePageTests","","tests.ui.HomePageTests","homePageTitleTest","Verify that Home Page browser title is correct",""
"passed","Fri Jul 18 21:20:28 GMT 2025","Fri Jul 18 21:20:38 GMT 2025","10142","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","createAccountPageWithEmptyNamesFieldsTest","Check account creation with empty 'First Name' and empty 'Last Name'",""
"broken","Fri Jul 18 21:23:23 GMT 2025","Fri Jul 18 21:23:47 GMT 2025","24244","","tests.ui.MensClothesChapterUnauthorizedUserTests","","tests.ui.MensClothesChapterUnauthorizedUserTests","removeItemFromCartTest","Remove item from cart and verify it's empty",""
"passed","Fri Jul 18 21:21:33 GMT 2025","Fri Jul 18 21:21:38 GMT 2025","4644","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayFavoritesTitleAfterClickingFavoritesButtonTest","Click 'Favorites' button and verify 'Favorites' title text is displayed",""
